epoch,Random-weights-decoder,Bert-base-encoder,Cxr-bert-base-encoder,Siglip-cxr-bert-base-encoder
1,829.012405504943,758.542353169219,652.820507850359,758.497770885831
2,490.11882147703,542.577243651871,533.910060089165,565.187051754216
3,410.53789494088,470.824190734639,469.650901337469,495.930800542741
4,339.473735220004,399.120953673192,427.920333397945,487.272145764683
5,288.856561349099,337.884086063191,364.781159139368,386.78736189184
6,260.878852490793,289.011242488854,329.709245977903,359.555340182206
7,239.815468113976,263.94223686761,321.717387090521,325.031982942431
8,212.289591006009,255.273308780771,297.910447761194,307.436906377205
9,198.835820895522,244.958906764877,272.447179685986,300.254506687342
10,202.178522969568,219.539251792983,253.036247334755,288.18395037798
11,185.023841829812,219.795890676488,237.877883310719,245.722039154875
12,176.955417716612,227.202752471409,242.92421011824,239.224849777089
13,175.454157782516,229.870517542159,226.658848614072,244.787555727854
14,164.266718356271,208.528590812173,213.333785617368,216.533824384571
15,155.052529559992,211.280480713317,205.297150610583,213.237836790076
16,152.217096336499,197.381856949021,197.900368288428,214.614266330684
17,150.222329908897,197.114169412677,200.925760806358,208.024617173871
18,141.842023647994,189.309362279512,192.23105252956,196.173095561155
19,135.361891839504,187.703430897461,197.12987012987,198.792789300252
20,133.292886218259,191.422174840085,195.51986819151,182.815468113976
21,143.082380306261,190.482264004652,183.571040899399,180.978096530335
22,139.955805388641,193.319441752278,180.616010854817,173.385345997286
23,134.00329521225,186.241519674356,177.501647606125,168.292692382245
24,137.574142275635,184.174646249273,165.466950959488,173.88776894747
25,135.815855786005,178.619499903082,165.705756929638,168.784454351619
26,136.14421399496,187.143438650901,161.049234347742,171.369257608064
27,138.87749563869,181.740841248304,171.903857336693,158.622019771274
28,141.745687148672,185.937584803256,159.954836208568,159.841248303935
29,145.943206047684,184.443690637721,153.750339213026,162.579763520062
30,156.535956580733,187.633262260128,157.899592944369,150.08276797829
31,152.344058926148,179.88079085094,150.421399496026,151.717774762551
32,158.69645280093,190.441946113588,168.996510951735,163.167280480713
33,161.518705175422,185.539639465013,161.207986043807,158.336305485559
34,166.466369451444,187.622795115332,165.70750145377,152.94960263617
35,164.987400659042,187.486916069006,161.865865477806,150.144989339019
36,172.962395813142,188.847644892421,158.348323318473,154.139174258577
37,171.500290754022,196.854041480907,160.932545066873,158.224849777089
38,175.461135879046,195.200426439232,163.954060864509,169.394456289979
39,181.403178910642,194.944756735802,169.573754603605,157.823996898624
40,180.874975770498,195.45144407831,169.258771079667,161.866253149835
41,179.519092847451,199.790463268075,165.806357821283,180.005427408412
42,188.876526458616,200.87342508238,169.1118433805,175.225818957162
43,182.170963364993,199.776313239,166.308005427408,174.251792983136
44,183.826129094786,205.369257608064,166.550881953867,177.874781934483
45,193.05446792014,204.841248303935,171.552626478,179.462686567164
46,196.433611164954,208.733281643729,168.38263229308,181.352200038767
47,198.04303159527,205.186276410157,168.9131614654,185.020352781547
48,199.361116495445,205.314595851909,169.212638108161,184.119984493119
49,200.478774956387,205.857142857143,170.117464624927,185.781352975383
50,201.034308974607,205.331265749176,169.994184919558,186.374297344447
