Step,Random-weights-decoder,Bert-base-encoder,Cxr-bert-base-encoder,siglip-cxr-bert-base-encoder
0,5.34137725830078,5.32276344299316,5.31838893890381,9.76878070831299
100,4.85843753814697,4.93909645080566,4.78253412246704,5.8846116065979
200,4.65774917602539,4.74392604827881,4.63395500183106,5.6562032699585
300,4.57003402709961,4.53022480010986,4.4481348991394,5.48117113113403
400,4.52820777893066,4.39992666244507,4.39299297332764,5.4809741973877
500,4.23205089569092,4.34686994552612,4.26703357696533,5.38028621673584
600,4.3799901008606,4.37412595748901,4.13437461853027,5.28954744338989
700,4.30908203125,4.16775608062744,4.03569793701172,5.24341440200806
800,4.10727548599243,4.25335216522217,4.25182151794434,5.15372228622437
900,4.28016567230225,4.12817859649658,3.99369621276855,5.03702211380005
1000,4.16148185729981,4.10364723205566,3.7526707649231,5.47129726409912
1100,4.01181125640869,4.21402835845947,3.82650375366211,5.07795286178589
1200,3.94636726379395,3.9999098777771,3.9254322052002,4.91127443313599
1300,3.99375486373901,4.04087734222412,3.83991694450378,4.92156648635864
1400,3.9966893196106,3.97874760627747,3.82110476493835,4.94938802719116
1500,3.86117434501648,3.92471933364868,3.65307140350342,4.86847448348999
1600,3.85514879226685,3.93889141082764,3.72086668014526,4.88671731948853
1700,3.75267505645752,3.83020496368408,3.63894033432007,4.74630308151245
1800,3.72366213798523,3.90531969070435,3.60631585121155,4.79988098144531
1900,3.67733144760132,3.86682748794556,3.59635138511658,4.74491262435913
2000,3.64682149887085,3.82374262809753,3.61366200447083,4.73163557052612
2100,3.68034052848816,3.82673835754395,3.58375000953674,4.73102760314941
2200,3.68045663833618,3.65883684158325,3.63006472587585,4.73937225341797
2300,3.66287112236023,3.73208141326904,3.57171154022217,4.63928318023682
2400,3.57775640487671,3.69502925872803,3.49289917945862,4.7024450302124
2500,3.85916757583618,3.66854000091553,3.26165151596069,4.68056011199951
2600,3.52220940589905,3.44738531112671,3.46373271942139,4.51267862319946
2700,3.44190168380737,3.53808784484863,3.41697645187378,4.54102516174316
2800,3.39535880088806,3.61674690246582,3.33906841278076,4.52757024765015
2900,3.59977293014526,3.56330299377441,3.38733458518982,4.55969858169556
3000,3.56096434593201,3.5056836605072,3.42943382263184,4.65773677825928
3100,3.56843090057373,3.51107406616211,3.32915925979614,4.58602237701416
3200,3.45213007926941,3.41252326965332,3.23463916778564,4.51501798629761
3300,3.58104991912842,3.45563960075378,3.47091674804687,4.54124927520752
3400,3.42154550552368,3.546959400177,3.32938480377197,4.39180183410645
3500,3.72548961639404,3.52529048919678,3.38509392738342,4.64110946655273
3600,3.60800290107727,3.42707586288452,3.25478410720825,4.32005167007446
3700,3.45384883880615,3.26433229446411,3.30031490325928,4.45580816268921
3800,3.47651362419128,3.29184436798096,3.28524303436279,4.5801157951355
3900,3.39792490005493,3.20259761810303,3.29345703125,4.54351997375488
4000,3.55426645278931,3.22104263305664,3.30222177505493,4.28639554977417
4100,3.42245006561279,3.27860450744629,3.36867189407349,4.36138439178467
4199,3.41922354698181,3.2112078666687,3.23779010772705,4.47028923034668
4200,3.38972282409668,3.31209516525269,3.26686239242554,4.40809059143066
4300,3.20091199874878,3.18003058433533,3.16026067733765,4.35468816757202
4400,3.3871865272522,3.1653368473053,3.17369055747986,4.30195379257202
4500,3.4393310546875,3.20468378067017,3.18672275543213,4.45977354049683
4600,3.54378890991211,3.43956542015076,3.1806526184082,4.38578987121582
4700,3.38509821891785,3.2327995300293,3.15202450752258,4.29209613800049
4800,3.32370471954346,3.33519172668457,3.16441535949707,4.30675792694092
4900,3.28985357284546,3.06092834472656,3.12044620513916,4.28684663772583
5000,3.41266846656799,3.25136423110962,3.26697063446045,4.26169109344482
5100,3.19986939430237,3.19852304458618,2.95554113388062,4.34478235244751
5200,3.24105548858643,3.27458143234253,3.02589511871338,4.4363808631897
5300,3.16277647018433,2.97941112518311,3.13393402099609,4.09801054000855
5400,3.16582775115967,3.18891835212708,3.13330984115601,4.38856172561646
5500,3.22599363327026,3.08519887924194,3.13449335098267,4.12751197814941
5600,3.12526488304138,3.17715096473694,3.08625745773315,4.21526670455933
5700,3.17093372344971,3.36636805534363,3.11516118049622,4.14446210861206
5800,3.17744922637939,3.20323657989502,3.08161878585815,4.14612913131714
5900,3.23096752166748,3.14053153991699,3.0543417930603,4.17191171646118
6000,3.03394961357117,2.92528438568115,2.96665859222412,4.12222909927368
6100,3.14803600311279,3.16528177261353,3.0232048034668,3.9978609085083
6200,3.03955554962158,2.87692451477051,3.06236219406128,4.02765846252441
6300,3.26065683364868,3.07394790649414,3.00042724609375,4.17113590240479
6400,3.01520991325378,2.99474048614502,3.07086420059204,4.12558794021606
6500,2.99363708496094,3.04753446578979,3.08580803871155,4.15857553482056
6600,3.09087157249451,2.84637784957886,3.22407102584839,4.19304847717285
6700,3.07643890380859,3.04073667526245,3.14890003204346,4.03231000900269
6800,2.87956237792969,3.05136966705322,3.10335659980774,4.24647855758667
6900,2.97066211700439,3.09260416030884,2.92561888694763,4.07327699661255
7000,2.9783353805542,3.01292705535889,3.13813734054565,4.13518238067627
7100,3.01710844039917,2.8078727722168,3.12087869644165,4.16750288009644
7200,2.93133592605591,2.94631052017212,2.89466547966003,4.19994401931763
7300,2.95618963241577,2.8708918094635,3.03384685516357,4.13236236572266
7400,3.05454063415527,2.82344102859497,3.04698729515076,4.03650426864624
7500,2.88768482208252,3.05715131759644,3.01460313796997,4.17272758483887
7600,3.08238887786865,2.95718097686768,3.05692505836487,4.14061832427979
7700,2.87117385864258,2.9666543006897,3.01434540748596,4.05705118179321
7800,2.86581945419312,2.8022198677063,2.76733112335205,4.10133647918701
7900,2.92943859100342,2.90665221214294,3.0707266330719,3.97270250320435
8000,2.87828493118286,2.97160220146179,2.9553050994873,4.26945495605469
8100,2.8554482460022,3.03347039222717,2.98157382011414,4.08897972106934
8200,2.76231408119202,3.00860738754272,2.78443121910095,4.12985038757324
8300,2.89299011230469,2.89493584632874,2.75882863998413,3.99268293380737
8399,2.77886533737183,2.87620544433594,2.9722318649292,3.9295756816864
8400,2.65164971351624,2.75750541687012,2.88155460357666,4.1587553024292
8500,2.77589559555054,2.7140371799469,2.95805096626282,4.02114105224609
8600,2.79422807693481,3.09481525421143,2.89009809494019,4.10242033004761
8700,2.77346611022949,2.76870489120483,2.81477570533752,4.04355812072754
8800,2.96719980239868,2.91925859451294,2.90263795852661,4.02238416671753
8900,2.90027761459351,2.82338714599609,2.93417501449585,4.07774782180786
9000,2.77492952346802,2.78288531303406,3.04317593574524,3.88924074172974
9100,2.83562564849854,2.84997534751892,2.79991602897644,3.942387342453
9200,2.77425336837769,2.69078397750854,2.95054483413696,3.88203978538513
9300,2.7322096824646,2.72016310691833,2.88131475448608,3.80654358863831
9400,2.69385147094727,2.86132049560547,2.91030359268188,4.10851001739502
9500,2.89028263092041,2.84708738327026,3.05130124092102,4.04411363601685
9600,2.6994047164917,2.75410556793213,2.82761192321777,3.90647411346436
9700,2.86593317985535,2.92034363746643,3.01163601875305,3.8791766166687
9800,2.75132989883423,2.85847949981689,2.82240676879883,4.09665536880493
9900,2.88164186477661,2.72189426422119,2.72187280654907,3.8996946811676
10000,2.61664438247681,2.87565040588379,2.86543893814087,4.10086011886597
10100,2.71657133102417,2.7708740234375,3.00500392913818,3.94397044181824
10200,2.75443553924561,2.70549726486206,2.86893320083618,3.94999623298645
10300,2.92086100578308,2.66908502578735,2.78364253044128,3.92792892456055
10400,2.62994050979614,2.70874977111816,3.01621866226196,4.12459087371826
10500,2.81331253051758,2.88825845718384,3.05491852760315,4.09162521362305
